,F,P
DWI_original_glszm_SmallAreaEmphasis,3.0932118444367256,0.08031877216553973
DWI_original_glszm_SmallAreaHighGrayLevelEmphasis,3.7608867482305155,0.054028160595512596
DWI_original_glszm_SmallAreaLowGrayLevelEmphasis,3.0307447112249877,0.08340921647280379
DWI_original_glszm_ZoneEntropy,44.08249155235927,3.5919380491140143e-10
DWI_original_glszm_ZonePercentage,17.174324094716,5.242074505017405e-05
DWI_original_glszm_ZoneVariance,13.983173681112103,0.0002476980253552733
T2_original_firstorder_10Percentile,47.20972352270902,1.0053843373469305e-10
T2_original_firstorder_90Percentile,32.842482766790496,4.135849503934363e-08
T2_original_firstorder_Energy,15.249856999562832,0.00013306644773511208
T2_original_firstorder_Entropy,1.5491525230434824,0.21487870839924875
T2_original_firstorder_InterquartileRange,0.006722295518208752,0.9347460771990285
T2_original_firstorder_Kurtosis,1.5949583191129064,0.2082526874139086
T2_original_firstorder_Maximum,6.216446189487775,0.013559518515685886
T2_original_firstorder_Mean,40.22954630178731,1.772122304467263e-09
T2_original_firstorder_MeanAbsoluteDeviation,0.005674192155069956,0.9400380062495851
T2_original_firstorder_Median,40.66467529838367,1.4775352662025448e-09
T2_original_firstorder_Minimum,62.808410127132575,2.2989135771189463e-13
T2_original_firstorder_Range,19.09497334498068,2.0975543325220947e-05
T2_original_firstorder_RobustMeanAbsoluteDeviation,0.02594777233013047,0.8722085834628226
T2_original_firstorder_Skewness,5.862423413915034,0.016460332572042654
T2_original_firstorder_TotalEnergy,14.57472035742727,0.00018515224723909387
T2_original_firstorder_Uniformity,0.8547969292311713,0.3564366338999718
T2_original_firstorder_Variance,0.02020601925651343,0.8871221799660153
T2_original_glcm_Autocorrelation,0.36818994233499536,0.5447571404917243
T2_original_glcm_ClusterProminence,0.707680742057243,0.40133100047466563
T2_original_glcm_ClusterShade,1.7358882194220406,0.1893351978587245
T2_original_glcm_ClusterTendency,2.3690258322597955,0.12552032980702912
T2_original_glcm_Contrast,1.7163673850467247,0.19183073313513876
T2_original_glcm_Correlation,17.917939338506713,3.671238877484695e-05
T2_original_glcm_DifferenceAverage,1.7233356665346586,0.1909355029532494
T2_original_glcm_DifferenceEntropy,0.11406524616696925,0.7359560887828922
T2_original_glcm_DifferenceVariance,0.46018983081992837,0.49840644899118514
T2_original_glcm_Id,1.8549355409522947,0.1749124791386754
T2_original_glcm_Idmn,10.940856466653262,0.00113582922138893
T2_original_glcm_Idn,10.858527593913774,0.0011844111235491807
T2_original_glcm_Imc1,1.4835595932562995,0.2248125883806931
T2_original_glcm_Imc2,10.553938945716505,0.0013833909861709665
T2_original_glcm_InverseVariance,0.8328651424911654,0.3626660403410843
T2_original_glcm_JointAverage,1.2786451114434298,0.25965549974453356
T2_original_glcm_JointEnergy,0.1145206046191503,0.7354494452666326
T2_original_glcm_JointEntropy,0.36278638313669265,0.5477208062048329
T2_original_glcm_MaximumProbability,0.9176958367533293,0.33936561582645464
T2_original_glcm_SumEntropy,1.3661506154531928,0.24401995567555781
T2_original_glcm_SumSquares,0.3071434248720978,0.5801262847999715
T2_original_glrlm_GrayLevelNonUniformity,30.44841699913699,1.1797369103957706e-07
T2_original_glrlm_GrayLevelNonUniformityNormalized,0.0749395978662778,0.7845898713116505
T2_original_glrlm_GrayLevelVariance,0.025965309318413957,0.8721657807596713
T2_original_glrlm_HighGrayLevelRunEmphasis,1.3485590682010105,0.2470678404316502
T2_original_glrlm_LongRunEmphasis,33.14441073256164,3.627295975353113e-08
T2_original_glrlm_LongRunHighGrayLevelEmphasis,0.34626751111667536,0.5569712859680487
T2_original_glrlm_LongRunLowGrayLevelEmphasis,17.01727790665428,5.653089212053573e-05
T2_original_glrlm_LowGrayLevelRunEmphasis,13.747571847949944,0.0002782590823447372
T2_original_glrlm_RunEntropy,1.7331513701768313,0.18968276821865995
T2_original_glrlm_RunLengthNonUniformity,51.06299494864451,2.1491141672402406e-11
T2_original_glrlm_RunLengthNonUniformityNormalized,46.85427897209015,1.1608199758400895e-10
T2_original_glrlm_RunPercentage,43.52107181542289,4.523812622028105e-10
T2_original_glrlm_RunVariance,28.305253046536222,3.051948547015725e-07
T2_original_glrlm_ShortRunEmphasis,44.359714637980815,3.2060124512653e-10
T2_original_glrlm_ShortRunHighGrayLevelEmphasis,2.474347032790352,0.11747355247344948
T2_original_glrlm_ShortRunLowGrayLevelEmphasis,11.946147731358536,0.0006831541977809732
T2_original_glszm_GrayLevelNonUniformity,27.16136816520262,5.093557159654409e-07
T2_original_glszm_GrayLevelNonUniformityNormalized,11.562491764590824,0.0008289000486713213
T2_original_glszm_GrayLevelVariance,18.33646267566353,3.0069805903263357e-05
T2_original_glszm_HighGrayLevelZoneEmphasis,7.064779616757073,0.008569096344962463
T2_original_glszm_LargeAreaEmphasis,6.097257577075574,0.014471653189614419
T2_original_glszm_LargeAreaHighGrayLevelEmphasis,8.138867487822903,0.0048401158589216125
T2_original_glszm_LargeAreaLowGrayLevelEmphasis,5.3316813569632755,0.022077028572296854
T2_original_glszm_LowGrayLevelZoneEmphasis,3.6188607895959555,0.05872468919208366
T2_original_glszm_SizeZoneNonUniformity,24.70400217093555,1.5491866381121295e-06
T2_original_glszm_SizeZoneNonUniformityNormalized,3.822116678298767,0.05212881221208191
T2_original_glszm_SmallAreaEmphasis,1.5608786238496184,0.21315878019685028
T2_original_glszm_SmallAreaHighGrayLevelEmphasis,6.0305523134085375,0.01500974574460203
T2_original_glszm_SmallAreaLowGrayLevelEmphasis,3.012531602941771,0.08433447635961444
T2_original_glszm_ZoneEntropy,41.279647058823414,1.1435238860459728e-09
T2_original_glszm_ZonePercentage,75.48361533826785,2.2120223026336488e-15
